figure_path	source_stage	figure_type	cell_type	contrast	pathway	purpose	quality_status	main_or_supp_candidate	duplicate_group	notes	bytes	sha256
figures/de_stage1/Granulosa_OC_vs_Y_pseudobulk_qc.png	stage1	other	Granulosa			existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:granulosa_oc_vs_y_pseudobulk_qc	No original file was deleted or modified.	144238	705d70cb4e5d41650518f33a4c5d9cbe54a727d0fdda505e119f635135a9a333
figures/de_stage1/Granulosa_OT_vs_OC_ma_volcano.png	stage1	other	Granulosa			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:granulosa_ot_vs_oc_ma_volcano	No original file was deleted or modified.	253207	f275329e75b421a5b49af0df8a701e63eefb360432d6af4181f8b5131fcb6b8a
figures/de_stage1/Granulosa_OT_vs_OC_pseudobulk_qc.png	stage1	other	Granulosa			existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:granulosa_ot_vs_oc_pseudobulk_qc	No original file was deleted or modified.	153582	9f9974676c465bd4392204affceeb28da536a92a7489fe2650fff48879cf034e
figures/de_stage1/Granulosa_OT_vs_Y_ma_volcano.png	stage1	other	Granulosa			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:granulosa_ot_vs_y_ma_volcano	No original file was deleted or modified.	204315	814135a002f587b7c5e23ab8d717e4d68c3379baec13ca229345d6d6f4e8d70f
figures/de_stage1/Granulosa_OT_vs_Y_pseudobulk_qc.png	stage1	other	Granulosa			existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:granulosa_ot_vs_y_pseudobulk_qc	No original file was deleted or modified.	132430	43192b900de6ea015624fdcc9b66fdc996dc73a00303da60d8814cd38c5b5af1
figures/de_stage1/Immune_OC_vs_Y_ma_volcano.png	stage1	other	Immune			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:immune_oc_vs_y_ma_volcano	No original file was deleted or modified.	253406	cc9e6ff30a492ba80a023c041253624b21b696879cc0dc2c8513b4f4037b5889
figures/de_stage1/Immune_OC_vs_Y_pseudobulk_qc.png	stage1	other	Immune			existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:immune_oc_vs_y_pseudobulk_qc	No original file was deleted or modified.	149017	1c6a5e3c9bf6b3252f8d8502d5591829db103fe25bacae83ec0f33b22d2efd18
figures/de_stage1/Immune_OT_vs_OC_ma_volcano.png	stage1	other	Immune			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:immune_ot_vs_oc_ma_volcano	No original file was deleted or modified.	185905	bb042d024ae8dc83acf373b1003503e475b2945e147cc8da5a98da924ab73bd1
figures/de_stage1/Immune_OT_vs_OC_pseudobulk_qc.png	stage1	other	Immune			existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:immune_ot_vs_oc_pseudobulk_qc	No original file was deleted or modified.	150394	4184cc90c108594db7e320c4a7cda1ac522b1aa07a1247fbd1ac222441aef072
figures/de_stage1/Immune_OT_vs_Y_ma_volcano.png	stage1	other	Immune			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:immune_ot_vs_y_ma_volcano	No original file was deleted or modified.	255899	ddf76987b57b515dfc12ab46b96b54c97af51564d3ce225138b63031819f4462
figures/de_stage1/Immune_OT_vs_Y_pseudobulk_qc.png	stage1	other	Immune			existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:immune_ot_vs_y_pseudobulk_qc	No original file was deleted or modified.	144367	4d4e5e8e2583f04dcbaf70fe527335ab64354795725e9aa688931b68bc12fa2f
figures/de_stage1/Ovarian_epithelial_OC_vs_Y_ma_volcano.png	stage1	other				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:ovarian_epithelial_oc_vs_y_ma_volcano	No original file was deleted or modified.	241083	fabd34fe77817bb7cb99fdb00c8f249edff238c961d2bf479ffdcfa65f4d4022
figures/de_stage1/Ovarian_epithelial_OC_vs_Y_pseudobulk_qc.png	stage1	other				existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:ovarian_epithelial_oc_vs_y_pseudobulk_qc	No original file was deleted or modified.	148255	822fbed53ef01bf0030a48e66ab5a92023c099b0b98965069b074996a39891d1
figures/de_stage1/Ovarian_epithelial_OT_vs_OC_ma_volcano.png	stage1	other				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:ovarian_epithelial_ot_vs_oc_ma_volcano	No original file was deleted or modified.	106034	d025b22eb641a8fc557334e0e6677e3e1eb640ce633d8c80bb962cf8f3739516
figures/de_stage1/Ovarian_epithelial_OT_vs_OC_pseudobulk_qc.png	stage1	other				existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:ovarian_epithelial_ot_vs_oc_pseudobulk_qc	No original file was deleted or modified.	146854	6159ae9863d87fb89263377ba8adad3be4f4ae64033c87f89f3a6ba3df81f453
figures/de_stage1/Ovarian_epithelial_OT_vs_Y_ma_volcano.png	stage1	other				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:ovarian_epithelial_ot_vs_y_ma_volcano	No original file was deleted or modified.	81665	842270a3a7d82bdba47be8912cf530c666b6fe2100c8a6ff0f9ccdd67a786e9b
figures/de_stage1/Ovarian_epithelial_OT_vs_Y_pseudobulk_qc.png	stage1	other				existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:ovarian_epithelial_ot_vs_y_pseudobulk_qc	No original file was deleted or modified.	140658	70b28b035cfde573a6a0d1ae4e612dda6fe9be92ae7e7a2b5357e83ac0a27f2c
figures/de_stage1/Smooth_muscle_pericyte_OC_vs_Y_ma_volcano.png	stage1	other				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:smooth_muscle_pericyte_oc_vs_y_ma_volcano	No original file was deleted or modified.	296329	7920a5156228fee5e5136870886a170384422671c044dca77b6c47c93c18898e
figures/de_stage1/Smooth_muscle_pericyte_OC_vs_Y_pseudobulk_qc.png	stage1	other				existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:smooth_muscle_pericyte_oc_vs_y_pseudobulk_qc	No original file was deleted or modified.	149319	a4abd7b3cdd25bcf1932b00e910d781fc33688b24be2a78d3fe3790e876e430e
figures/de_stage1/Smooth_muscle_pericyte_OT_vs_OC_ma_volcano.png	stage1	other				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:smooth_muscle_pericyte_ot_vs_oc_ma_volcano	No original file was deleted or modified.	134341	014fdf54527006b49b03ecb6b24bdd49533ceeaf36c2de53aebc77592dfc40b8
figures/de_stage1/Smooth_muscle_pericyte_OT_vs_OC_pseudobulk_qc.png	stage1	other				existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:smooth_muscle_pericyte_ot_vs_oc_pseudobulk_qc	No original file was deleted or modified.	150692	abfcf6f3f026d7d15625b70288cd1beff8ee622fcd67d79ce074c53e72167f11
figures/de_stage1/Smooth_muscle_pericyte_OT_vs_Y_ma_volcano.png	stage1	other				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:smooth_muscle_pericyte_ot_vs_y_ma_volcano	No original file was deleted or modified.	123076	1e24e302cd3df894b524fd6993ae11669468055f7874430cba0c3a373e8f8a51
figures/de_stage1/Smooth_muscle_pericyte_OT_vs_Y_pseudobulk_qc.png	stage1	other				existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:smooth_muscle_pericyte_ot_vs_y_pseudobulk_qc	No original file was deleted or modified.	146067	e3e452220898fd5a2c5eb96f3157076aecee45442e75bc9d27a939e49ae05297
figures/de_stage1/Stromal_fibroblast_OC_vs_Y_ma_volcano.png	stage1	other	Stromal_fibroblast			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:stromal_fibroblast_oc_vs_y_ma_volcano	No original file was deleted or modified.	300989	800b8706ba72e418500f1cbe634e7d6f137abe9014b4cf9b47b04cb9b87c7741
figures/de_stage1/Stromal_fibroblast_OC_vs_Y_pseudobulk_qc.png	stage1	other	Stromal_fibroblast			existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:stromal_fibroblast_oc_vs_y_pseudobulk_qc	No original file was deleted or modified.	147630	c7db00fcb6d3d77c5bcb63d0337c2508d7fdbbaddbb56e847309cf6537c8d86e
figures/de_stage1/Stromal_fibroblast_OT_vs_OC_ma_volcano.png	stage1	other	Stromal_fibroblast			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:stromal_fibroblast_ot_vs_oc_ma_volcano	No original file was deleted or modified.	244890	1f90fc32021e48d7a6665f2e75922905c6b8ea7198ce937ea1c6c34b81b6c46c
figures/de_stage1/Stromal_fibroblast_OT_vs_OC_pseudobulk_qc.png	stage1	other	Stromal_fibroblast			existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:stromal_fibroblast_ot_vs_oc_pseudobulk_qc	No original file was deleted or modified.	156241	9a9125e285f23a1a7002c6ce1868f41b2b20aa478c58467d50b1075b5f0d14a6
figures/de_stage1/Stromal_fibroblast_OT_vs_Y_ma_volcano.png	stage1	other	Stromal_fibroblast			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:stromal_fibroblast_ot_vs_y_ma_volcano	No original file was deleted or modified.	216066	3e21425727d06b974680d097f0fdd1b0db4681acdff5b7c1bc21578b8066a347
figures/de_stage1/Stromal_fibroblast_OT_vs_Y_pseudobulk_qc.png	stage1	other	Stromal_fibroblast			existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:stromal_fibroblast_ot_vs_y_pseudobulk_qc	No original file was deleted or modified.	142849	92f4f663d8e3a1bc916d2da9f9a12d4653c81a93047cc4b74b0986c6c579c6c1
figures/de_stage1/Theca_steroidogenic_OC_vs_Y_ma_volcano.png	stage1	other	Theca_steroidogenic			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:theca_steroidogenic_oc_vs_y_ma_volcano	No original file was deleted or modified.	304113	0af4fd27e106f620df1a1c09eeba7d6a6f4132c3a0032bdb724ca34dd0224d87
figures/de_stage1/Theca_steroidogenic_OC_vs_Y_pseudobulk_qc.png	stage1	other	Theca_steroidogenic			existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:theca_steroidogenic_oc_vs_y_pseudobulk_qc	No original file was deleted or modified.	149358	6c8afb31af6536bf8061b6ad2ea9faf76836cc58d46fdc5f783ddb78e5d59fe5
figures/de_stage1/Theca_steroidogenic_OT_vs_OC_ma_volcano.png	stage1	other	Theca_steroidogenic			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:theca_steroidogenic_ot_vs_oc_ma_volcano	No original file was deleted or modified.	233257	ca58bee27296622454cc6a5177673b24e32653b025e531a644a4e0ffe90a8ab2
figures/de_stage1/Theca_steroidogenic_OT_vs_OC_pseudobulk_qc.png	stage1	other	Theca_steroidogenic			existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:theca_steroidogenic_ot_vs_oc_pseudobulk_qc	No original file was deleted or modified.	153326	59d9251387ccda0c88175eac37db88febcb875b429fb81b81828717518881608
figures/de_stage1/Theca_steroidogenic_OT_vs_Y_ma_volcano.png	stage1	other	Theca_steroidogenic			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:theca_steroidogenic_ot_vs_y_ma_volcano	No original file was deleted or modified.	113807	34a0b2936cdace1766468d587007be4214e777b2ad1791f5d24220c8fbf5b068
figures/de_stage1/Theca_steroidogenic_OT_vs_Y_pseudobulk_qc.png	stage1	other	Theca_steroidogenic			existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:theca_steroidogenic_ot_vs_y_pseudobulk_qc	No original file was deleted or modified.	142109	7c0dcad700b4ed6aebb4089a1a476cdbff6eecb42f93036126976506cb88ae7f
figures/de_stage1/Vascular_endothelial_OC_vs_Y_ma_volcano.png	stage1	other				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:vascular_endothelial_oc_vs_y_ma_volcano	No original file was deleted or modified.	300230	e264b4b4f41a315fe55a60b0ce0b8c64c6d298f3f60e8ec17a7c6950c461825f
figures/de_stage1/Vascular_endothelial_OC_vs_Y_pseudobulk_qc.png	stage1	other				existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:vascular_endothelial_oc_vs_y_pseudobulk_qc	No original file was deleted or modified.	145611	82efcebffcd40577964e2543bddc4714734f67398e24b2e916cfe0a3257fe4fc
figures/de_stage1/Vascular_endothelial_OT_vs_OC_ma_volcano.png	stage1	other				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:vascular_endothelial_ot_vs_oc_ma_volcano	No original file was deleted or modified.	191269	949ada1ca9d46cb7785e28ed57f5ea9da103f15f74ec4c9c810029b090029e0e
figures/de_stage1/Vascular_endothelial_OT_vs_OC_pseudobulk_qc.png	stage1	other				existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:vascular_endothelial_ot_vs_oc_pseudobulk_qc	No original file was deleted or modified.	156338	8d115caadcedebf3085aa4bf0c8a80d69e19e59edad1d6a68ed47e0f5df58e90
figures/de_stage1/Vascular_endothelial_OT_vs_Y_ma_volcano.png	stage1	other				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:vascular_endothelial_ot_vs_y_ma_volcano	No original file was deleted or modified.	153983	007c5de5ac5890c76b0a5cb2b5ab16ec46dbecc54eedb1edf05951595cbd7b02
figures/de_stage1/Vascular_endothelial_OT_vs_Y_pseudobulk_qc.png	stage1	other				existing analysis output; retained unchanged for audit	diagnostic_or_supplementary	supplement_candidate	stem:vascular_endothelial_ot_vs_y_pseudobulk_qc	No original file was deleted or modified.	146372	f55b3c3c5467cbee542b6a51445d60934487c94af4684e3bb0d0ddd08379f6c5
figures/de_stage1_5/Granulosa_aging_vs_residual.png	stage1_5	other	Granulosa	OC_vs_Y;OT_vs_OC		existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:granulosa_aging_vs_residual	No original file was deleted or modified.	131112	f9cc89a7e0c18a6a24154f9ce8e8fdf67d134e5d4f5130c2e60b581945f366ef
figures/de_stage1_5/Granulosa_aging_vs_treatment.png	stage1_5	other	Granulosa	OC_vs_Y;OT_vs_OC		existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:granulosa_aging_vs_treatment	No original file was deleted or modified.	142056	436c43ba1c08bec80ad76846bc0b801c990764c2f639ec5795e5a9c2ef4534ac
figures/de_stage1_5/Granulosa_recovery_fraction.png	stage1_5	bar_or_summary	Granulosa			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:granulosa_recovery_fraction	No original file was deleted or modified.	40249	997d0daa11251adf05f9725b32671b9ebe243f7078857f374e190b52d70d680a
figures/de_stage1_5/Granulosa_rescue_classification_counts.png	stage1_5	bar_or_summary	Granulosa			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:granulosa_rescue_classification_counts	No original file was deleted or modified.	78193	ee0ae132b8d37f8f884458f2c967c334c41e234a088ace0b2f910797b48b70cc
figures/de_stage1_5/Immune_aging_vs_residual.png	stage1_5	other	Immune	OC_vs_Y;OT_vs_OC		existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:immune_aging_vs_residual	No original file was deleted or modified.	84246	af356141857e183ad3958566331739bddaaea2e48b86e0a8095d542783c51e71
figures/de_stage1_5/Immune_aging_vs_treatment.png	stage1_5	other	Immune	OC_vs_Y;OT_vs_OC		existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:immune_aging_vs_treatment	No original file was deleted or modified.	104010	0631b514b81143979cf70ddcea7289c64726cc0f46ea06c7c7610d172ea8d594
figures/de_stage1_5/Immune_recovery_fraction.png	stage1_5	bar_or_summary	Immune			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:immune_recovery_fraction	No original file was deleted or modified.	37733	79301b70c6ca477ce13214c1ccd45ef2cabe74f2953ab81183f4f89fc1a18422
figures/de_stage1_5/Immune_rescue_classification_counts.png	stage1_5	bar_or_summary	Immune			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:immune_rescue_classification_counts	No original file was deleted or modified.	78759	b8fc8b78aa7cd60fd35683bf039c3554e6f216872b0cdee8cb8609c8f5cf6694
figures/de_stage1_5/Ovarian_epithelial_aging_vs_residual.png	stage1_5	other		OC_vs_Y;OT_vs_OC		existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:ovarian_epithelial_aging_vs_residual	No original file was deleted or modified.	121215	8ee4ba026208cd70a255020ff1954ac1edf81eca4c24c731e50f5ab5cef4f4d9
figures/de_stage1_5/Ovarian_epithelial_aging_vs_treatment.png	stage1_5	other		OC_vs_Y;OT_vs_OC		existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:ovarian_epithelial_aging_vs_treatment	No original file was deleted or modified.	121738	d4fecccd654ded738f255c1f3e07c3a3ad2ad3abb4e9a7c57db97d654fbb9d1d
figures/de_stage1_5/Ovarian_epithelial_recovery_fraction.png	stage1_5	bar_or_summary				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:ovarian_epithelial_recovery_fraction	No original file was deleted or modified.	36838	c662b09516325fe81b32ddf897e25356da860f9089b67b14728f24a3bea0094c
figures/de_stage1_5/Ovarian_epithelial_rescue_classification_counts.png	stage1_5	bar_or_summary				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:ovarian_epithelial_rescue_classification_counts	No original file was deleted or modified.	78561	c97b1400055e7970cc9b506f582e556353e841942ff51bea035482faa2da15f4
figures/de_stage1_5/Smooth_muscle_pericyte_aging_vs_residual.png	stage1_5	other		OC_vs_Y;OT_vs_OC		existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:smooth_muscle_pericyte_aging_vs_residual	No original file was deleted or modified.	127053	b9fac050dfa5708b69d7e5d3cd7589de4093c3ff22c7786e2e656b1bb75923a2
figures/de_stage1_5/Smooth_muscle_pericyte_aging_vs_treatment.png	stage1_5	other		OC_vs_Y;OT_vs_OC		existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:smooth_muscle_pericyte_aging_vs_treatment	No original file was deleted or modified.	141596	667b805b9d5b25a16b47fe56aca0ee8c31ea4566385eac2841670a94e74705ed
figures/de_stage1_5/Smooth_muscle_pericyte_recovery_fraction.png	stage1_5	bar_or_summary				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:smooth_muscle_pericyte_recovery_fraction	No original file was deleted or modified.	38961	23dcbf7320a1013e28d1e31cc1d35012f37bc066b2bb50d26d2c0e1d2a986e08
figures/de_stage1_5/Smooth_muscle_pericyte_rescue_classification_counts.png	stage1_5	bar_or_summary				existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:smooth_muscle_pericyte_rescue_classification_counts	No original file was deleted or modified.	81164	98a8bb248468635527ec67b84b8b95ea23e8119684a9407e2a7f2bbeb8eb2374
figures/de_stage1_5/Stromal_fibroblast_aging_vs_residual.png	stage1_5	other	Stromal_fibroblast	OC_vs_Y;OT_vs_OC		existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:stromal_fibroblast_aging_vs_residual	No original file was deleted or modified.	130398	0eccb1cd6dd34fb758c6dece041460690d3ba57436522182fdc74552d2db5915
figures/de_stage1_5/Stromal_fibroblast_aging_vs_treatment.png	stage1_5	other	Stromal_fibroblast	OC_vs_Y;OT_vs_OC		existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:stromal_fibroblast_aging_vs_treatment	No original file was deleted or modified.	128496	a98b6dde170fd7daf143414933bb8e2e157a549295b8272f4366d4ee5e3cdfe9
figures/de_stage1_5/Stromal_fibroblast_recovery_fraction.png	stage1_5	bar_or_summary	Stromal_fibroblast			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:stromal_fibroblast_recovery_fraction	No original file was deleted or modified.	35885	fb2dfb61d03dbce38386deec86e35eb709182ae7c1166cac642485374c59715c
figures/de_stage1_5/Stromal_fibroblast_rescue_classification_counts.png	stage1_5	bar_or_summary	Stromal_fibroblast			existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:stromal_fibroblast_rescue_classification_counts	No original file was deleted or modified.	82640	28e9d8327697470fec5ea2ef36269dbe782f19cd4cf7cccc6c7b5e271d17b88b
figures/de_stage1_5/Theca_steroidogenic_aging_vs_residual.png	stage1_5	other	Theca_steroidogenic	OC_vs_Y;OT_vs_OC		existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:theca_steroidogenic_aging_vs_residual	No original file was deleted or modified.	116437	6b490a795170af37b9b342150bbf22b16aef5f10a7a0a6240af5e069c5badfa6
figures/de_stage1_5/Theca_steroidogenic_aging_vs_treatment.png	stage1_5	other	Theca_steroidogenic	OC_vs_Y;OT_vs_OC		existing analysis output; retained unchanged for audit	review_or_regenerate_for_publication	main_or_supp_review_candidate	stem:theca_steroidogenic_aging_vs_treatment	No original file was deleted or modified.	129019	8cb43e185473283eb6f2bf6c2a93177c892c89c36bd8a6c0c668c4052dc45eda
